faculty,title,wordCount,classification,url
law,Acceleration Guidelines,558,unique,https://law.unimelb.edu.au/students/jd/studies/acceleration-guidelines
law,Concurrent Diploma option with the JD,372,unique,https://law.unimelb.edu.au/students/jd/studies/concurrent-diploma
law,JD course planning and advice,689,mixed,https://law.unimelb.edu.au/students/jd/studies/course-planning
law,JD course structure and plans,837,unique,https://law.unimelb.edu.au/students/jd/studies/course-plans
law,Enrolment and Re-Enrolment | JD | Melbourne Law School,516,unique,https://law.unimelb.edu.au/students/jd/studies/enrolment
law,Time Commitment and Timetabling,500,unique,https://law.unimelb.edu.au/students/jd/studies/time-commitment-and-timetabling
law,Minor Thesis option,158,link-farm,https://law.unimelb.edu.au/students/masters/studies/minor-thesis-option
law,Melbourne Law Masters course planning,1379,unique,https://law.unimelb.edu.au/students/masters/studies/mlm-course-planning
law,Prerequisites and Recommended Requirements,248,unique,https://law.unimelb.edu.au/students/masters/studies/prerequisites-and-recommended-requirements
law,MLM student advising,372,mixed,https://law.unimelb.edu.au/students/masters/studies/student-advising
law,Subject delivery,560,unique,https://law.unimelb.edu.au/students/masters/studies/subject-delivery
feit,My Course Planner,2057,unique,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/further-support/my-course-planner
feit,Faculty Course Planning Resources,1270,mixed,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/further-support/faculty-course-planning-resources
arts,Diploma in Languages,456,mixed,https://arts.unimelb.edu.au/students/graduate-coursework/enrichment/diploma-in-languages
arts,Diploma in Languages,1212,mixed,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/diploma-in-languages
arts,Overview of course structure,1369,mixed,https://arts.unimelb.edu.au/students/graduate-research/commencement/overview-of-course-structure
arts,Overview of course structure,1369,mixed,https://arts.unimelb.edu.au/students/graduate-research/commencement/overview-of-course-structure/_nocache
arts,Overview of course structure,1369,mixed,https://arts.unimelb.edu.au/students/graduate-research/plan-your-program2/overview-of-course-structure
arts,Audio/Visual loan equipment,331,unique,https://arts.unimelb.edu.au/students/audiovisual-loan-equipment
science,Course guide: Bachelor of Agriculture,1182,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-agriculture
science,Bachelor of Agriculture Orientation,855,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-agriculture/bag-orientation
science,Dookie Semester,852,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-agriculture/dookie-semester
science,Course guide: Bachelor of Science,1304,mixed,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science
science,Bachelor of Science Majors Information Series,439,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/bachelor-of-science-majors-series
science,Redirecting...,0,redirect,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/bachelor-of-science-majors-series/recorded-events-2025/Maths-and-Stats-Course-planning-talk-information-slides-2025.pdf
science,Breadth subjects in the Bachelor of Science,841,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/breadth
science,Bachelor of Science Orientation,626,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/bsc-orientation
science,First year subject sets,939,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets
science,Biological sciences: getting started in the Bachelor of Science,949,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/biological-sciences
science,Chemical Sciences: getting started in the Bachelor of Science,1006,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/chemical-sciences
science,Earth Sciences: getting started in the Bachelor of Science,1034,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/earth-sciences
science,Engineering Systems: starting in the Bachelor of Science,974,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/engineering-systems
science,Geography: getting started in the Bachelor of Science,1047,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/geography
science,Information Technology: starting in the Bachelor of Science,952,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/information-technology
science,Mathematics and Statistics: starting in the Bachelor of Science,1245,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/mathematics-and-statistics
science,Physical Sciences: starting in the Bachelor of Science,1224,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/physical-sciences
science,Psychological Sciences: starting in the Bachelor of Science,963,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/first-year-subject-sets/psychological-sciences
science,Course guide: Diploma in General Studies,941,unique,https://science.unimelb.edu.au/students/course-guide-diploma-in-general-studies
science,Course guide: Graduate coursework degrees,973,unique,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees
science,Research Project Subjects | Veterinary & Agricultural Sciences,3185,unique,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees/agriculture-food-science-research-projects
science,Differences in Major and Minor Research Projects,707,unique,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees/agriculture-food-science-research-projects/differences-in-major-and-minor-research-projects
science,Masters Research Project Topic Areas,1292,unique,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees/agriculture-food-science-research-projects/masters-research-project-topic-areas
science,Getting started in your graduate science degree,578,unique,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees/graduate-getting-started
science,Master of Science research projects,2102,unique,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees/master-of-science-research-projects
science,Quota subjects,1774,unique,https://science.unimelb.edu.au/students/quota-subjects
abp,Current Students | Melbourne School of Design,1239,mixed,https://msd.unimelb.edu.au/current-students
abp,Sample Course Plans,343,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans
abp,List of Forms | Current Students | Melbourne School of Design,417,unique,https://msd.unimelb.edu.au/current-students/enrolment/list-of-forms
abp,Course Planning | Current Students | MSD,300,unique,https://msd.unimelb.edu.au/current-students/course-planning
abp,Master of Architecture Sample Course Plans,560,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-architecture
abp,Master of Construction Management Sample Course Plans,685,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-construction
abp,Master of Landscape Architecture Course Plans,559,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/landscape-architecture-course-plans
abp,Master of Property Sample Course Plans,592,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-property
abp,Master of Urban and Cultural Heritage,453,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-urban-and-cultural-heritage
abp,Master of Urban Design Sample Course Plans,397,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/urban-design
abp,Master of Urban Planning Sample Course Plans,530,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/urban-planning
abp,Graduate Diploma in Property Valuation Sample Course Plans,365,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/property-valuation
abp,Master of Architectural Engineering,582,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-architectural-engineering
abp,Double Masters Degrees,916,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters
abp,MSD Studios Archive,297,unique,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive
abp,Master of Architecture/Master of Construction,954,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-construction
abp,Master of Architecture/Master of Landscape Architecture,786,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-landscape-architecture
abp,Master of Architecture/Master of Property,647,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-property
abp,Master of Architecture/Master of Urban Design,676,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-design
abp,Master of Architecture/Master of Urban and Cultural Heritage,651,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-cultural-heritage
abp,Master of Architecture/Master of Urban Planning,711,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-planning
abp,Master of Construction/Master of Property,960,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/construction-property
abp,Master of Landscape Architecture/Master of Urban Design,725,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/landscape-architecture-urban-design
abp,Master of Landscape/Master of Urban Planning,763,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/landscape-urban-planning
abp,Master of Property/Master of Urban Planning,723,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/property-urban-planning
abp,Master of Urban Planning/Master of Urban Design,599,unique,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/urban-planning-urban-design
abp,2014 Studio Archive | Melbourne School of Design,291,unique,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2014
abp,2015 Studio Archive | Melbourne School of Design,291,unique,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2015
abp,2016 Studio Archive | Melbourne School of Design,291,unique,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2016
fbe,Course Planning,448,unique,https://fbe.unimelb.edu.au/students/bcom/current-students
fbe,Bachelor of Commerce (Honours),314,unique,https://fbe.unimelb.edu.au/students/bcom/honours
fbe,Academic Success,352,unique,https://fbe.unimelb.edu.au/students/bcom/current-students/academic-success
fbe,Dean's Honours List 2024,627,unique,https://fbe.unimelb.edu.au/students/bcom/current-students/deans-honours-list-2020
fbe,Studies in Engineering,614,unique,https://fbe.unimelb.edu.au/students/bcom/current-students/studies-in-engineering
fbe,Honours Convenors,301,unique,https://fbe.unimelb.edu.au/students/bcom/honours/convenors
fbe,Honours Entry & Application,664,unique,https://fbe.unimelb.edu.au/students/bcom/honours/entry-requirements-and-how-to-apply
fbe,What is Honours?,492,unique,https://fbe.unimelb.edu.au/students/bcom/honours/what-is-honours
education,Current Students | Faculty of Education,795,mixed,https://education.unimelb.edu.au/study/current-students
education,Education Student Advisory Committee,927,unique,https://education.unimelb.edu.au/study/current-students/education-student-advisory-committee
education,Employability in Education,881,mixed,https://education.unimelb.edu.au/study/current-students/employability-in-education
education,Faculty of Education Scholarships,391,mixed,https://education.unimelb.edu.au/study/current-students/employability-in-education/faculty-of-education-scholarships
education,Early Childhood and Primary,1639,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/early-childhood-and-primary
education,Placement Allocation Process,708,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-allocation-process
education,Assessment,961,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/assessment
education,Attendance and absences,479,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/attendance-and-absences
education,Placement seminars,284,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/placement-seminars
education,Placement structure,580,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/placement-structure
education,Professional Conduct,697,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/professional-conduct
education,Roles and responsibilities,1482,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/roles-and-responsibilities
education,Primary,982,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/primary
education,Secondary,950,unique,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/secondary
education,International Study | Faculty of Education,409,mixed,https://education.unimelb.edu.au/study/current-students/international-study-opportunities
education,Literacy and Numeracy Test for Initial Teacher Education Students (LANTITE),641,unique,https://education.unimelb.edu.au/study/current-students/literacy-and-numeracy-test-for-initial-teacher-education-students-lantite
education,Student Services and IT,370,mixed,https://education.unimelb.edu.au/study/current-students/resources-and-it
education,Subject Enrolment,524,mixed,https://education.unimelb.edu.au/study/current-students/subject-enrolment
education,Student Timetabling | Faculty of Education,1048,mixed,https://education.unimelb.edu.au/study/current-students/timetable
education,Wellbeing and Support | Faculty of Education,435,mixed,https://education.unimelb.edu.au/study/current-students/wellbeing-and-support
ffam,Conservatorium Subject Enrolment Forms,265,unique,https://finearts-music.unimelb.edu.au/current-students/forms/conservatorium-subject-enrolment-forms
ffam,Fine Arts and Music Enrolment Assistance,77,link-farm,https://finearts-music.unimelb.edu.au/current-students/forms/fine-arts-and-music-enrolment-assistance
ffam,Research Ethics & Integrity | Faculty of Fine Arts & Music,788,unique,https://finearts-music.unimelb.edu.au/current-students/research-students/research-ethics-and-integrity2
ffam,Bachelor of Music student guide,62,link-farm,https://finearts-music.unimelb.edu.au/current-students/starting-out/bachelor-of-music-student-guides
ffam,Orientation,409,mixed,https://finearts-music.unimelb.edu.au/current-students/starting-out/orientation
ffam,Minor Music Performance,253,unique,https://finearts-music.unimelb.edu.au/current-students/forms/conservatorium-subject-enrolment-forms/minor-music-performance
mdhs,Conclusion of placement,206,unique,https://mdhs.unimelb.edu.au/study/current-students/placements/org/department-of-social-work-resources/conclusion-of-placement
mdhs,Clinical Psychology,322,unique,https://mdhs.unimelb.edu.au/study/current-students/placements/org/msps/clinical-psychology
mdhs,Professional Psychology,378,unique,https://mdhs.unimelb.edu.au/study/current-students/placements/org/msps/professional-psychology
mdhs,AHPRA Registration,1382,unique,https://mdhs.unimelb.edu.au/study/current-students/placements/students/requirements/course-specific-checks/ahpra
mbs,Students,386,unique,https://mbs.unimelb.edu.au/students
mbs,Course Planning,366,unique,https://mbs.unimelb.edu.au/students/course-planning
mbs,Assessment,1213,unique,https://mbs.unimelb.edu.au/students/course-planning/assessment
mbs,Changing Courses,886,unique,https://mbs.unimelb.edu.au/students/course-planning/changing-courses
mbs,Course Plans,817,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans
mbs,Enrolment and Timetabling,1057,mixed,https://mbs.unimelb.edu.au/students/course-planning/enrolment
mbs,Master of International Business Dual Degrees,394,unique,https://mbs.unimelb.edu.au/students/course-planning/master-of-international-business-dual-degrees
mbs,Services and Facilities,299,unique,https://mbs.unimelb.edu.au/students/course-planning/services
mbs,Key Dates and Contacts,512,unique,https://mbs.unimelb.edu.au/students/course-planning/student-administration
mbs,Student Support,937,unique,https://mbs.unimelb.edu.au/students/course-planning/student-support
mbs,Subject Selection and Advanced Standing,1098,unique,https://mbs.unimelb.edu.au/students/course-planning/subject-selection-and-advanced
mbs,Master of Actuarial Science,706,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-actuarial
mbs,Master of Actuarial Science (Extended),745,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-actuarial-science
mbs,Master of Actuarial Science (Enhanced),774,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-actuarial-science-enhanced
mbs,Master of Applied Econometrics,852,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-applied-econometrics-commenced-prior-to-2022
mbs,Master of Applied Econometrics (Enhanced),848,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-applied-econometrics2
mbs,Master of Commerce (Actuarial Science),889,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-commerce-actuarial-science
mbs,Master of Commerce (Actuarial Science) - Research Pathway,891,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-commerce-actuarial-science-research-pathway
mbs,Master of Digital Marketing,697,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-digital-marketing
mbs,Master of Economics,860,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-economics
mbs,Master of Entrepreneurship (Enhanced) - New Venture Creation Pathway,717,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-entrepreneurship-commenced-prior-to-2023
mbs,Master of Entrepreneurship (Enhanced) - Intrapreneurship Pathway,707,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-entrepreneurship-enhanced-new-venture-creation-pathway
mbs,Master of Finance,844,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-finance
mbs,Master of Finance (Enhanced),918,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-finance-enhanced
mbs,Master of Finance (Enhanced) - Research Pathway,920,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-finance-enhanced-research-pathway
mbs,Master of Finance - Research Pathway,846,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-finance-research-pathway
mbs,Master of Indigenous Business Leadership,657,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-indigenous-business-leadership
mbs,Master of International Business (200 point),888,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-international-busines
mbs,Master of International Business (150 point),887,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-international-business-150-point
mbs,Master of International Business (150 point) - Research Pathway,889,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-international-business-150-point-research-pathway
mbs,Master of International Business (200 point) - Research Pathway,990,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-international-business-200-point-research-pathway
mbs,Master of Management (200 point),943,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management
mbs,Master of Management (150 point),919,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-150-point
mbs,Master of Management (150 point) - Research Pathway,938,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-150-point-research-pathway
mbs,Master of Management (200 point) - Research Pathway,973,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-200-point-research-pathway
mbs,Master of Management (Accounting) 200 point,779,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-accounting
mbs,Master of Management (Accounting and Finance),1152,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-accounting-finance-200-points
mbs,Master of Management (Accounting) 150 point,1017,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-accounting-plan-2
mbs,Master of Management (Finance) 150 points,841,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-finance-150-point
mbs,Master of Management (Finance) 200 point,854,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-finance-200-point
mbs,Master of Management (Human Resources) 200 point,862,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-human-resources
mbs,Master of Management (Human Resources) 150 point,833,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-human-resources-150-point
mbs,Master of Management (Human Resources) 150 point - Research Pathway,835,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-human-resources-150-point-research-pathway
mbs,Master of Management (Human Resources) 200 point - Research Pathway,874,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-human-resources-200-point-research-pathway
mbs,Master of Management (Marketing) 200 point,839,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-marketing
mbs,Master of Management (Marketing) 150 point,805,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-marketing-150
mbs,Master of Management (Marketing) 150 point - Research Pathway,819,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-marketing-150-point-research-pathway
mbs,Master of Management (Marketing) 200 point - Research Pathway,852,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-marketing-200-point-research-pathway
mbs,Master of Management (Supply Chain Management) 150pt,861,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-supply-chain-management-150pt
mbs,Master of Management (Supply Chain Management) 150pt - Research Pathway,837,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-supply-chain-management-150pt-research-pathway
mbs,Master of Management (Supply Chain Management) 200pt,837,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-supply-chain-management-200pt
mbs,Master of Management (Supply Chain Management) 200pt - Research Pathway,852,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs/master-of-management-supply-chain-management-200pt-research-pathway
mbs,Inbound - Dual Degree,794,unique,https://mbs.unimelb.edu.au/students/course-planning/master-of-international-business-dual-degrees/inbound
mbs,Outbound - Dual Degree,2023,unique,https://mbs.unimelb.edu.au/students/course-planning/master-of-international-business-dual-degrees/outbound
mbs,Open Access Student Computing Spaces,641,unique,https://mbs.unimelb.edu.au/students/course-planning/services/computing-spaces
mbs,Rules and conditions,463,unique,https://mbs.unimelb.edu.au/students/course-planning/services/rules
mbs,Virtual Lab,288,unique,https://mbs.unimelb.edu.au/students/course-planning/services/virtual-lab
mbs,Masters Programs,562,unique,https://mbs.unimelb.edu.au/students/course-planning/course-plans/masters-programs
biomedical,Master of Biomedical Science,417,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science
biomedical,Bachelor of Biomedicine at-a-glance,448,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine
biomedical,Academic Skills,507,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/academic-skills
biomedical,Course Planning,710,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/course-planning
biomedical,Deans' Honours List,393,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/deans-honours-list
biomedical,Orientation,281,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/orientation
biomedical,Student Clubs and Societies,390,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/student-clubs-and-societies
biomedical,Academic Skills,420,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/academic-skills
biomedical,Biomedicine Deans' Honours List,1543,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/biomedicine-deans-honours-list
biomedical,Biomedicine Enrolment Advice Day,836,mixed,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/biomedicine-enrolment-advice-day
biomedical,Biomedicine Graduate Pathways,546,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/biomedicine-graduate-pathways
biomedical,Breadth,1459,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/breadth
biomedical,Concurrent Diplomas,532,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/concurrent-diplomas
biomedical,Majors,1147,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/majors
biomedical,Biomedicine Orientation,437,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/orientation
biomedical,Plan your First Year Subjects,1184,mixed,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/plan-your-first-year-subjects
biomedical,Student Societies,809,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/student-societies
biomedical,Study Abroad and Exchange,740,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/study-abroad-and-exchange
biomedical,Plan Your Course,1459,mixed,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/study-plan-templates
biomedical,UROP,449,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/urop
biomedical,Your career,362,unique,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/your-career
biomedical,Biochemistry and Molecular Biology - The University of Melbourne,166,redirect,https://study.unimelb.edu.au/find/courses/major/biochemistry-and-molecular-biology/
biomedical,Biomedical Engineering Systems - The University of Melbourne,193,redirect,https://study.unimelb.edu.au/find/courses/major/biomedical-engineering-systems/
biomedical,Biotechnology - The University of Melbourne,132,redirect,https://study.unimelb.edu.au/find/courses/major/biotechnology/
biomedical,Cell and Developmental Biology - The University of Melbourne,152,redirect,https://study.unimelb.edu.au/find/courses/major/cell-and-developmental-biology/
biomedical,Genetics - The University of Melbourne,137,redirect,https://study.unimelb.edu.au/find/courses/major/genetics/
biomedical,Human Nutrition - The University of Melbourne,172,redirect,https://study.unimelb.edu.au/find/courses/major/human-nutrition/
biomedical,Human Structure and Function - The University of Melbourne,127,redirect,https://study.unimelb.edu.au/find/courses/major/human-structure-and-function/
biomedical,Immunology - The University of Melbourne,139,redirect,https://study.unimelb.edu.au/find/courses/major/immunology/
biomedical,Infection and Immunity - The University of Melbourne,122,redirect,https://study.unimelb.edu.au/find/courses/major/infection-and-immunity/
biomedical,Microbiology - The University of Melbourne,148,redirect,https://study.unimelb.edu.au/find/courses/major/microbiology/
biomedical,Neuroscience - The University of Melbourne,155,redirect,https://study.unimelb.edu.au/find/courses/major/neuroscience/
biomedical,Pathology - The University of Melbourne,158,redirect,https://study.unimelb.edu.au/find/courses/major/pathology/
biomedical,Pharmacology - The University of Melbourne,140,redirect,https://study.unimelb.edu.au/find/courses/major/pharmacology/
biomedical,Physiology - The University of Melbourne,144,redirect,https://study.unimelb.edu.au/find/courses/major/physiology/
biomedical,Psychology - The University of Melbourne,288,redirect,https://study.unimelb.edu.au/find/courses/major/psychology/
biomedical,Public Health and Epidemiology - The University of Melbourne,147,redirect,https://study.unimelb.edu.au/find/courses/major/public-health-and-epidemiology/
